location,average_delay,occ
"PUNE - PNQ",20.5552,40
"RKT/PC, Rajkot, GUJARAT",19.0802,24
SECB,45.2667,21
"Gurugram, Haryana, IN",87.6667,11
MULM,65.0000,9
SURM,51.0000,8
Ahmedabad,73.0000,6
Thane,36.2708,6
RKTM,31.4091,5
Surat,24.5200,5
CAHM,284.7500,4
VASM,47.5333,4
RJCX,31.7500,4
SABG,29.4231,4
CHSK,54.0000,3
KLLM,53.0000,2
HDPM,45.2857,2
"BENGALURU - BLR",38.1111,2
KNDE,37.2222,2
BSGD,35.6667,2
"BHIWANDI, Maharashtra, IN",29.1600,2
"ANDHERI (ADHR)",330.0000,1
HRBS,269.0000,1
CHBR,101.0000,1
"PCK/BJE, Delhi NCR, DELHI",71.0000,1
AGRA,60.0000,1
"NGP/GHR, Nagpur, MAHARASHTRA",54.0000,1
MIRM,53.0000,1
"HYDERABAD, TELANGANA, IN",52.0000,1
GZBD,52.0000,1
BDQH,52.0000,1
"Bijainagar, Bijainagar, RAJASTHAN",48.6400,1
Nadia,46.0000,1
Farukhnagar,44.4545,1
"GWL/HUB, Gwalior, MADHYA PRADESH",30.3333,1
Delhi,26.0000,1
"Chennai, Tamil Nadu, IN",18.4000,1
BORV,48.0000,0
SONP,46.3333,0
"PCK/PTD, Gurgaon, HARYANA",45.0000,0
MLRE,44.5000,0
"Radhanpur, Radhanpur, GUJARAT",44.0000,0
"PUNE, MAHARASHTRA, IN",39.0000,0
"BHIWANDI HUB",38.0000,0
"SURAT GROUND HUB",35.8000,0
"BENGALURU ETAIL HUB",34.0000,0
LPRL,32.0000,0
"Satna, Satna, MADHYA PRADESH",31.0000,0
"GUWAHATI HUB",27.0000,0
CHAKAN,27.0000,0
RHNI,25.0000,0
JPNG,24.6667,0
"Nagpur, MAHARASHTRA, IN",23.4615,0
"Hosur, Tamil Nadu, IN",23.0000,0
CTMK,22.0000,0
"Bangalore, KARNATAKA, IN",21.0000,0
"PNQ/CHN, Chakan, MAHARASHTRA",21.0000,0
PNYX,20.5000,0
"Makroniya MP, MAKRONIYA, MADHYA PRADESH",20.0000,0
"GURGAON, HARYANA, IN",20.0000,0
Malur,19.8000,0
OKHL,19.4000,0
"Mangaluru, KARNATAKA, IN",19.0000,0
SRIGANGANAGAR,19.0000,0
"RSC/Siddipet, Siddipet, TELANGANA",19.0000,0
BHIM,17.0000,0
ABAL,16.2500,0
JAIH,16.0000,0
"Mumbai, MAHARASHTRA, IN",16.0000,0
